as_of,orig_total_nav,tx_only_nav,combined_nav,daily_tx_cost_usd,daily_borrow_cost_usd,cumulative_tx_cost_usd,cumulative_borrow_cost_usd,cumulative_combined_friction_usd
2025-04-01,1000000.0,999985.0,999957.6007945206,15.0,27.3992,15.0,27.3992,42.3992
2025-04-02,1013088.61,1013063.95336,1013011.608401096,9.6566,24.9458,24.6566,52.345,77.0016
2025-04-03,1021723.82,1021694.3391259549,1021630.325454722,4.8242,11.6687,29.4809,64.0137,93.4945
2025-04-04,1043425.59,1042137.2216053928,1042073.2079341599,1258.8875,0.0,1288.3684,64.0137,1352.3821
2025-04-07,1042581.48,1041269.6298853928,1041162.7272826531,23.4817,42.8889,1311.8501,106.9026,1418.7527
2025-04-08,1064941.03,1063550.7856235928,1063388.316582497,78.3943,55.5664,1390.2444,162.469,1552.7134
2025-04-09,1072083.51,1070684.266403593,1070458.876211812,8.9992,62.9212,1399.2436,225.3902,1624.6338
2025-04-10,1078614.22,1077195.265809293,1076885.4353161422,19.7106,84.4403,1418.9542,309.8305,1728.7847
2025-04-11,1077591.22,1076164.1838692927,1075751.2229377858,8.0819,103.1304,1427.0361,412.9609,1839.9971
2025-04-14,1069963.91,1068512.7954942926,1067930.4599052516,24.0784,169.3747,1451.1145,582.3356,2033.4501
2025-04-15,1075813.9,1074322.6548992926,1073590.285776005,40.1306,150.0335,1491.2451,732.3691,2223.6142
2025-04-16,1112918.66,1111399.8033130828,1110554.307422672,27.6116,113.1268,1518.8567,845.4959,2364.3526
2025-04-17,1116638.89,1115120.0333130828,1114167.235450069,0.0,107.302,1518.8567,952.7979,2471.6545
2025-04-21,1126567.63,1125043.8048210826,1124000.882437521,4.9685,90.1245,1523.8252,1042.9224,2566.7476
2025-04-22,1130310.53,1128626.9036710828,1127446.4449313567,159.8012,137.5364,1683.6263,1180.4587,2864.0851
