date,kind,ticker,sleeve,side,notional_usd,tx_cost_usd,detail
2025-04-01,entry,BIAF,surge_short,short,5000.0,7.5,BIAF short surge_short did=5f5bddc57222
2025-04-01,entry,RSLS,surge_short,short,5000.0,7.5,RSLS short surge_short did=2dd3dc62eb1d
2025-04-02,entry,IBG,surge_short,short,5022.51,7.5338,IBG short surge_short did=e77c21bf823a
2025-04-02,exit,RSLS,surge_short,short,1415.25,2.1229,RSLS short close@45.0
2025-04-03,exit,BIAF,surge_short,short,3216.16,4.8242,BIAF short close@21.033
2025-04-04,entry,,fixed_income,,348774.48,523.1617,UST 1m face=350000.0 purchase_pv=348774.47695903364
2025-04-04,entry,,fixed_income,,247383.7,371.0755,UST 3m face=250000.0 purchase_pv=247383.69633717064
2025-04-04,entry,,fixed_income,,146954.16,220.4312,UST 6m face=150000.0 purchase_pv=146954.15703803484
2025-04-04,entry,,fixed_income,,92973.4,139.4601,UST 2y face=100000.0 purchase_pv=92973.4039072129
2025-04-04,exit,IBG,surge_short,short,3172.61,4.7589,IBG short close@19.74
2025-04-07,entry,BJDX,surge_short,short,5218.16,7.8272,BJDX short surge_short did=a4fa63ffa061
2025-04-07,entry,JNVR,surge_short,short,5218.16,7.8272,JNVR short surge_short did=ea0d882b2f51
2025-04-07,entry,SUNE,surge_short,short,5218.16,7.8272,SUNE short surge_short did=d678e8f32d32
2025-04-08,exit,BJDX,surge_short,short,2052.49,3.0787,BJDX short close@11.8
2025-04-08,entry,BTOG,surge_short,short,5246.38,7.8696,BTOG short surge_short did=86d609568d17
2025-04-08,entry,GLXG,surge_short,short,5246.38,7.8696,GLXG short surge_short did=2b25d00f4deb
2025-04-08,entry,NAOV,surge_short,short,5246.38,7.8696,NAOV short surge_short did=5809324f8420
2025-04-08,entry,SPY,quality_long,long,31308.98,46.9635,SPY long quality_long did=a6e17c7f8010
2025-04-08,exit,SUNE,surge_short,short,3162.23,4.7433,SUNE short close@6.06
2025-04-09,entry,SPY,quality_long,long,639.06,0.9586,SPY long quality_long did=c650177a436e
2025-04-09,entry,VERO,surge_short,short,5360.42,8.0406,VERO short surge_short did=3649dfdf4328
2025-04-10,entry,RSLS,surge_short,short,5351.65,8.0275,RSLS short surge_short did=527993b6b4e3
2025-04-10,entry,STSS,surge_short,short,5351.65,8.0275,STSS short surge_short did=8e5a92c2650b
2025-04-10,exit,VERO,surge_short,short,2437.1,3.6556,VERO short close@4.06
2025-04-11,entry,MSPR,surge_short,short,5387.96,8.0819,MSPR short surge_short did=d7d1842b8f5b
2025-04-14,entry,BULL,surge_short,short,5350.75,8.0261,BULL short surge_short did=0c5e1fe48e13
2025-04-14,entry,STSS,surge_short,short,5350.75,8.0261,STSS short surge_short did=2c7b7a39286b
2025-04-14,entry,XAGE,surge_short,short,5350.75,8.0261,XAGE short surge_short did=fc768e103c8a
2025-04-15,entry,DFS,quality_long,long,26753.73,40.1306,DFS long quality_long did=b6099590718f
2025-04-16,exit,BULL,surge_short,short,3081.24,4.6219,BULL short close@36.22
2025-04-16,exit,GLXG,surge_short,short,3144.08,4.7161,GLXG short close@5.689
2025-04-16,exit,RSLS,surge_short,short,3429.48,5.1442,RSLS short close@36.31
2025-04-16,exit,STSS,surge_short,short,3336.38,5.0046,STSS short close@7.95
2025-04-16,entry,TGL,surge_short,short,5416.55,8.1248,TGL short surge_short did=c255a1f64d60
2025-04-21,exit,TGL,surge_short,short,3312.33,4.9685,TGL short close@46.6
2025-04-22,entry,ANSS,quality_long,long,22383.52,33.5753,ANSS long quality_long did=6c5cc91a8fa7
2025-04-22,entry,DFS,quality_long,long,39207.95,58.8119,DFS long quality_long did=7dc1b0167b36
2025-04-22,entry,HAS,quality_long,long,27987.98,41.982,HAS long quality_long did=3e868ef9aa07
2025-04-22,entry,OBLG,surge_short,short,5651.55,8.4773,OBLG short surge_short did=ae6b4c2b2949
2025-04-22,entry,TIVC,surge_short,short,5651.55,8.4773,TIVC short surge_short did=8068b36a54f4
2025-04-22,entry,WNW,surge_short,short,5651.55,8.4773,WNW short surge_short did=6c8e29e56ae0
