date,nav_orig_forward,nav_combined_forward,daily_fwd_tx_cost_usd,daily_fwd_borrow_cost_usd
2025-04-22,1148865.09,1146637.7,0.0,124.3359
2025-04-23,1150893.06,1148538.25,0.0,127.4149
2025-04-24,1159099.92,1156628.32,0.0,116.7881
2025-04-25,1159084.48,1156498.16,0.0,114.7334
2025-04-28,1158866.12,1156163.58,0.0,116.2152
2025-04-29,1160907.91,1158094.17,0.0,111.2019
2025-04-30,1160585.03,1157662.05,0.0,109.2401
2025-05-01,1157951.01,1154910.9,0.0,117.127
2025-05-02,1162048.26,1158892.03,0.0,116.1215
2025-05-05,1173429.83,1170174.6,0.0,98.9922
2025-05-06,1172862.75,1169510.02,0.0,97.5047
2025-05-07,1173776.12,1170326.69,0.0,96.6986
2025-05-08,1174121.95,1170572.77,0.0,99.7587
2025-05-09,1173651.41,1170003.36,0.0,98.8676
2025-05-12,1179546.36,1175798.41,0.0,99.8921
2025-05-13,1181165.12,1177319.14,0.0,98.0356
2025-05-14,1180737.62,1176796.6,0.0,95.0433
2025-05-15,1182646.12,1178614.25,0.0,90.8512
2025-05-16,1182716.68,1178593.86,0.0,90.9494
2025-05-19,1183971.14,1179513.83,245.4448,89.0415
2025-05-20,1183373.5,1178827.39,0.0,88.807
2025-05-21,1180968.2,1176338.54,0.0,83.5504
2025-05-22,1180803.12,1176087.42,0.0,86.0308
2025-05-23,1180168.19,1175369.23,0.0,83.2598
2025-05-27,1183757.37,1178874.86,0.0,83.5542
2025-05-28,1183683.72,1178719.01,0.0,82.1994
2025-05-29,1182708.27,1177658.52,0.0,85.0367
2025-05-30,1182315.69,1177181.64,0.0,84.2988
