as_of,orig_total_nav,tx_only_nav,combined_nav,daily_tx_cost_usd,daily_borrow_cost_usd,cumulative_tx_cost_usd,cumulative_borrow_cost_usd,cumulative_combined_friction_usd
2025-04-01,1000000.0,999985.0,999957.6007945206,15.0,27.3992,15.0,27.3992,42.3992
2025-04-02,1013088.61,1013056.419595,1012990.3143073288,17.1904,38.7061,32.1904,66.1053,98.2957
2025-04-03,1022280.16,1022243.145360955,1022153.135251366,4.8242,23.9048,37.0146,90.0101,127.0247
2025-04-04,1061698.46,1061089.9397805587,1060988.9590408327,571.5056,10.9706,608.5202,100.9807,709.501
2025-04-07,1061400.59,1060768.1642505587,1060614.0881683668,23.9055,53.0953,632.4257,154.0761,786.5018
2025-04-08,1084134.44,1083430.2172188587,1083224.758944886,71.797,51.3822,704.2228,205.4583,909.6811
2025-04-09,1089792.69,1089079.3189888587,1088810.5853724203,9.1482,63.2753,713.371,268.7336,982.1046
2025-04-10,1104763.53,1104026.0679607587,1103682.2088922656,24.091,75.1255,737.462,343.8591,1081.3211
2025-04-11,1103425.5,1102679.7622657586,1102240.696430142,8.2757,95.2068,745.7377,439.0658,1184.8036
2025-04-14,1095706.13,1094935.7346057587,1094333.7905509642,24.6577,162.8782,770.3954,601.9441,1372.3394
2025-04-15,1101405.61,1100594.1185057587,1099849.0789715122,41.0961,143.0955,811.4915,745.0395,1556.531
2025-04-16,1131311.16,1130476.2626149587,1129615.8589711231,23.4059,115.3641,834.8974,860.4036,1695.301
2025-04-17,1135314.93,1134480.0326149587,1133510.2079026299,0.0,109.4211,834.8974,969.8247,1804.7221
2025-04-21,1145784.74,1144944.7580889587,1143883.0443903285,5.0845,91.889,839.9819,1061.7137,1901.6956
2025-04-22,1148865.09,1147948.087648959,1146762.0380873152,77.0204,124.3359,917.0024,1186.0496,2103.0519
