date,kind,ticker,sleeve,side,notional_usd,tx_cost_usd,detail
2025-04-01,entry,BIAF,surge_short,short,5000.0,7.5,BIAF short surge_short did=41d05dcd4734
2025-04-01,entry,RSLS,surge_short,short,5000.0,7.5,RSLS short surge_short did=6d2a15e7cfa2
2025-04-02,entry,IBG,surge_short,short,5022.51,7.5338,IBG short surge_short did=62485d6772b0
2025-04-02,entry,QNRX,surge_short,short,5022.51,7.5338,QNRX short surge_short did=25c56efafef5
2025-04-02,exit,RSLS,surge_short,short,1415.25,2.1229,RSLS short close@45.0
2025-04-03,exit,BIAF,surge_short,short,3216.16,4.8242,BIAF short close@21.033
2025-04-04,entry,,fixed_income,,40756.79,61.1352,UST 1m face=40900.0 purchase_pv=40756.78887892707
2025-04-04,entry,,fixed_income,,60707.96,91.0619,UST 3m face=61350.0 purchase_pv=60707.95908114167
2025-04-04,entry,,fixed_income,,60104.25,90.1564,UST 6m face=61350.0 purchase_pv=60104.250228556244
2025-04-04,entry,,fixed_income,,78714.4,118.0716,UST 1y face=81800.0 purchase_pv=78714.39568899154
2025-04-04,entry,,fixed_income,,76052.24,114.0784,UST 2y face=81800.0 purchase_pv=76052.24439610014
2025-04-04,entry,,fixed_income,,34023.8,51.0357,UST 5y face=40900.0 purchase_pv=34023.79720000263
2025-04-04,entry,,fixed_income,,27471.67,41.2075,UST 10y face=40900.0 purchase_pv=27471.671990480747
2025-04-04,exit,IBG,surge_short,short,3172.61,4.7589,IBG short close@19.74
2025-04-07,entry,BJDX,surge_short,short,5312.34,7.9685,BJDX short surge_short did=00c0814eb60e
2025-04-07,entry,JNVR,surge_short,short,5312.34,7.9685,JNVR short surge_short did=ba93777932fd
2025-04-07,entry,SUNE,surge_short,short,5312.34,7.9685,SUNE short surge_short did=e6b2802a9aa6
2025-04-08,exit,BJDX,surge_short,short,2089.54,3.1343,BJDX short close@11.8
2025-04-08,entry,BTOG,surge_short,short,5340.94,8.0114,BTOG short surge_short did=4d7dc7687b7c
2025-04-08,entry,NAOV,surge_short,short,5340.94,8.0114,NAOV short surge_short did=1283a1fc3122
2025-04-08,entry,SPY,quality_long,long,31874.01,47.811,SPY long quality_long did=5f4209dbf320
2025-04-08,exit,SUNE,surge_short,short,3219.25,4.8289,SUNE short close@6.06
2025-04-09,entry,SPY,quality_long,long,649.86,0.9748,SPY long quality_long did=a7edf298b325
2025-04-09,entry,VERO,surge_short,short,5448.96,8.1734,VERO short surge_short did=d1a9dacfb5a7
2025-04-10,exit,QNRX,surge_short,short,2693.39,4.0401,QNRX short close@5.49
2025-04-10,entry,RSLS,surge_short,short,5444.96,8.1674,RSLS short surge_short did=bc6fccaebf44
2025-04-10,entry,STSS,surge_short,short,5444.96,8.1674,STSS short surge_short did=92ee89b518f5
2025-04-10,exit,VERO,surge_short,short,2477.37,3.7161,VERO short close@4.06
2025-04-11,entry,MSPR,surge_short,short,5517.13,8.2757,MSPR short surge_short did=df6610b7dca7
2025-04-14,entry,BULL,surge_short,short,5479.48,8.2192,BULL short surge_short did=d7a00d9bfe9c
2025-04-14,entry,STSS,surge_short,short,5479.48,8.2192,STSS short surge_short did=642d4d431d73
2025-04-14,entry,XAGE,surge_short,short,5479.48,8.2192,XAGE short surge_short did=23b7e6263e65
2025-04-15,entry,DFS,quality_long,long,27397.4,41.0961,DFS long quality_long did=75341c8b4389
2025-04-16,exit,BULL,surge_short,short,3155.12,4.7327,BULL short close@36.22
2025-04-16,exit,RSLS,surge_short,short,3489.39,5.2341,RSLS short close@36.31
2025-04-16,exit,STSS,surge_short,short,3416.59,5.1249,STSS short close@7.95
2025-04-16,entry,TGL,surge_short,short,5542.82,8.3142,TGL short surge_short did=c076ac2bb322
2025-04-21,exit,TGL,surge_short,short,3389.68,5.0845,TGL short close@46.6
2025-04-22,entry,DFS,quality_long,long,39858.3,59.7875,DFS long quality_long did=4c2ad912ec46
2025-04-22,entry,OBLG,surge_short,short,5744.33,8.6165,OBLG short surge_short did=92c43ec5b5cd
2025-04-22,entry,TIVC,surge_short,short,5744.33,8.6165,TIVC short surge_short did=322675954d98
