as_of,orig_total_nav,tx_only_nav,combined_nav,daily_tx_cost_usd,daily_borrow_cost_usd,cumulative_tx_cost_usd,cumulative_borrow_cost_usd,cumulative_combined_friction_usd
2025-03-03,1000000.0,999985.0,999957.600630137,15.0,27.3994,15.0,27.3994,42.3994
2025-03-04,1000611.26,1000596.26,1000543.1359452055,0.0,25.7247,15.0,53.1241,68.1241
2025-03-05,1000153.64,1000138.64,1000058.5375068493,0.0,26.9784,15.0,80.1025,95.1025
2025-03-06,1013512.02,1013495.440824,1013403.3256459179,1.5792,12.0127,16.5792,92.1152,108.6944
2025-03-07,1013909.46,1013293.6836497335,1013161.1557319253,599.1972,40.4127,615.7764,132.5279,748.3043
2025-03-10,1017752.18,1017136.4036497336,1016973.6484716515,0.0,30.2273,615.7764,162.7552,778.5315
2025-03-11,1017004.59,1016388.8136497336,1016193.3323620623,0.0,32.7261,615.7764,195.4813,811.2576
2025-03-12,1019584.54,1018968.7636497336,1018747.3990743911,0.0,25.8833,615.7764,221.3646,837.1409
2025-03-13,1020796.59,1020180.8136497336,1019936.6523072678,0.0,22.7968,615.7764,244.1613,859.9377
2025-03-14,1017563.45,1016940.0419197336,1016650.4434539803,7.6317,45.4371,623.4081,289.5985,913.0065
2025-03-17,1018443.47,1017820.0619197336,1017487.6212348022,0.0,42.8422,623.4081,332.4407,955.8488
2025-03-18,1019522.31,1018898.9019197337,1018526.4124950762,0.0,40.0487,623.4081,372.4894,995.8975
2025-03-19,1019202.67,1018579.2619197337,1018165.7980293228,0.0,40.9745,623.4081,413.4639,1036.872
2025-03-20,1018459.82,1017836.4119197336,1017380.0171800076,0.0,42.9308,623.4081,456.3947,1079.8028
2025-03-21,1022205.57,1021286.8338402122,1020789.1472374725,295.3281,41.2919,918.7362,497.6866,1416.4228
2025-03-24,1020860.68,1019941.9438402123,1019399.3168265136,0.0,44.9404,918.7362,542.627,1461.3632
2025-03-25,1021815.42,1020896.6838402123,1020311.6906895273,0.0,42.3661,918.7362,584.9932,1503.7293
2025-03-26,1022783.89,1021865.1538402123,1021240.1377854177,0.0,40.0229,918.7362,625.0161,1543.7522
2025-03-27,1023039.61,1022120.8738402122,1021456.4399771985,0.0,39.4178,918.7362,664.4339,1583.17
2025-03-28,1023752.97,1022826.5557002123,1022110.5027413082,7.6781,51.6191,926.4143,716.053,1642.4673
2025-03-31,1032325.26,1031394.3827712123,1030639.0137301164,4.4629,39.3161,930.8772,755.369,1686.2463
