date,kind,ticker,sleeve,side,notional_usd,tx_cost_usd,detail
2025-03-03,entry,ACON,surge_short,short,5000.0,7.5,ACON short surge_short did=efa10fd716df
2025-03-03,entry,BTOG,surge_short,short,5000.0,7.5,BTOG short surge_short did=62f11972ba27
2025-03-06,exit,ACON,surge_short,short,1052.78,1.5792,ACON short close@43.2
2025-03-07,entry,,fixed_income,,149472.42,224.2086,UST 1m face=150000.0 purchase_pv=149472.42161877474
2025-03-07,entry,,fixed_income,,98946.38,148.4196,UST 3m face=100000.0 purchase_pv=98946.38444166743
2025-03-07,entry,,fixed_income,,97936.64,146.905,UST 6m face=100000.0 purchase_pv=97936.63749136085
2025-03-07,entry,,fixed_income,,48067.68,72.1015,UST 1y face=50000.0 purchase_pv=48067.67929244376
2025-03-07,entry,SUNE,surge_short,short,5041.66,7.5625,SUNE short surge_short did=021b8a8256ac
2025-03-14,entry,RDUS,surge_short,short,5087.82,7.6317,RDUS short surge_short did=a9a1088b3ca6
2025-03-21,entry,,fixed_income,,98948.75,148.4231,UST 3m face=100000.0 purchase_pv=98948.7488562334
2025-03-21,entry,,fixed_income,,97936.64,146.905,UST 6m face=100000.0 purchase_pv=97936.63749136085
2025-03-28,entry,PRTG,surge_short,short,5118.76,7.6781,PRTG short surge_short did=08e8aca2cdd4
2025-03-31,exit,BTOG,surge_short,short,2975.29,4.4629,BTOG short close@11.4
