as_of,orig_total_nav,tx_only_nav,combined_nav,daily_tx_cost_usd,daily_borrow_cost_usd,cumulative_tx_cost_usd,cumulative_borrow_cost_usd,cumulative_combined_friction_usd
2025-03-03,1000000.0,999977.5,999936.4020547945,22.5,41.0979,22.5,41.0979,63.5979
2025-03-04,1000829.52,1000807.02,1000727.096739726,0.0,38.8253,22.5,79.9233,102.4233
2025-03-05,1000669.51,1000631.99995,1000485.3976212329,15.0101,66.6791,37.51,146.6023,184.1124
2025-03-06,1014521.34,1014459.6254039999,1014221.3370752328,24.2045,91.686,61.7146,238.2883,300.0029
2025-03-07,1050294.32,1049538.8572116108,1049176.1420883231,693.7482,124.4268,755.4628,362.7151,1118.1779
2025-03-10,1063818.95,1063043.0749791109,1062552.7989517136,20.4122,127.5609,775.875,490.276,1266.151
2025-03-11,1063977.36,1063201.484979111,1062584.1439380152,0.0,127.065,775.875,617.341,1393.2161
2025-03-12,1066088.94,1065313.0649791108,1064573.1806229465,0.0,122.5433,775.875,739.8844,1515.7594
2025-03-13,1077786.54,1077006.736517886,1076162.3698603518,3.9285,104.4823,779.8035,844.3667,1624.1701
2025-03-14,1095380.95,1094361.866027606,1093388.8370413047,239.2805,128.6623,1019.084,973.029,1992.113
2025-03-17,1096185.1,1095166.016027606,1094065.3498906197,0.0,127.6372,1019.084,1100.6661,2119.7501
2025-03-18,1098227.88,1097208.796027606,1095983.3537536333,0.0,124.7761,1019.084,1225.4423,2244.5262
2025-03-19,1098060.05,1097040.966027606,1095689.941068702,0.0,125.5827,1019.084,1351.025,2370.1089
2025-03-20,1094126.26,1093107.176027606,1091628.502657743,0.0,127.6484,1019.084,1478.6734,2497.7573
2025-03-21,1099259.36,1098123.9428172437,1096505.966735052,116.3332,139.3027,1135.4172,1617.9761,2753.3933
2025-03-24,1099020.9,1097877.2401672436,1096104.1370713532,8.2427,155.127,1143.6598,1773.1031,2916.7629
2025-03-25,1102523.89,1101371.9612372436,1099440.759264641,8.2689,158.0989,1151.9288,1931.202,3083.1307
2025-03-26,1102767.03,1101615.1012372437,1099527.0580317643,0.0,156.8412,1151.9288,2088.0432,3239.972
2025-03-27,1102651.61,1101499.6812372438,1099255.9909632711,0.0,155.6471,1151.9288,2243.6903,3395.619
2025-03-28,1116939.35,1115666.2634292287,1113264.472826489,121.1578,158.1003,1273.0866,2401.7906,3674.8772
2025-03-31,1128226.98,1126949.4305002287,1124389.3892399548,4.4629,158.2507,1277.5495,2560.0413,3837.5908
