as_of,orig_total_nav,tx_only_nav,combined_nav,daily_tx_cost_usd,daily_borrow_cost_usd,cumulative_tx_cost_usd,cumulative_borrow_cost_usd,cumulative_combined_friction_usd
2025-03-03,1000000.0,999977.5,999936.4020547945,22.5,41.0979,22.5,41.0979,63.5979
2025-03-04,1000829.52,1000807.02,1000727.096739726,0.0,38.8253,22.5,79.9233,102.4233
2025-03-05,1000669.51,1000631.99995,1000485.3976212329,15.0101,66.6791,37.51,146.6023,184.1124
2025-03-06,1014521.34,1014467.167194,1014242.6538789315,16.6628,77.911,54.1728,224.5133,278.6861
2025-03-07,1107396.39,1105911.1009690254,1105572.2372703953,1431.1162,114.3504,1485.289,338.8637,1824.1527
2025-03-10,1113272.13,1111770.1418890255,1111302.1826561487,16.6991,129.0955,1501.9881,467.9592,1969.9473
2025-03-11,1113617.38,1112107.0397540254,1111495.2251238883,8.3521,143.8554,1510.3402,611.8146,2122.1549
2025-03-12,1115332.82,1113822.4797540256,1113071.284027998,0.0,139.3811,1510.3402,751.1957,2261.536
2025-03-13,1126824.43,1125301.7658828006,1124413.9059101979,12.3239,136.6642,1522.6641,887.86,2410.5241
2025-03-14,1125161.06,1123629.9571678007,1122584.9377705404,8.4387,157.1594,1531.1028,1045.0194,2576.1222
2025-03-17,1124161.36,1122621.8259528007,1121400.8048843076,8.4312,176.0017,1539.534,1221.0211,2760.5551
2025-03-18,1125942.27,1124402.7359528006,1123010.163267869,0.0,171.5516,1539.534,1392.5727,2932.1067
2025-03-19,1125520.69,1123981.1559528005,1122415.376117184,0.0,173.2072,1539.534,1565.7798,3105.3139
2025-03-20,1119761.38,1118221.8459528005,1116475.4715418415,0.0,180.5946,1539.534,1746.3744,3285.9085
2025-03-21,1121821.8,1120273.8522878007,1118335.1575480746,8.4137,192.3203,1547.9477,1938.6947,3486.6425
2025-03-24,1121901.17,1120353.2222878006,1118222.0780960198,0.0,192.4495,1547.9477,2131.1442,3679.0919
2025-03-25,1124099.04,1122542.6615378007,1120212.4235104034,8.4307,199.0938,1556.3785,2330.238,3886.6165
2025-03-26,1125539.16,1123982.7815378006,1121457.4677569787,0.0,195.0758,1556.3785,2525.3138,4081.6922
2025-03-27,1125060.8,1123504.4215378007,1120783.1041405404,0.0,196.0036,1556.3785,2721.3174,4277.6959
2025-03-28,1127316.59,1125751.7566678007,1122821.5979006775,8.4549,208.8414,1564.8333,2930.1588,4494.9921
2025-03-31,1138317.45,1136748.1537388007,1133610.605053869,4.4629,207.3899,1569.2963,3137.5487,4706.8449
