date,kind,ticker,sleeve,side,notional_usd,tx_cost_usd,detail
2025-03-03,entry,ACON,surge_short,short,5000.0,7.5,ACON short surge_short did=7521962abd61
2025-03-03,entry,BTOG,surge_short,short,5000.0,7.5,BTOG short surge_short did=aae57ec6e9ed
2025-03-03,entry,FTFT,surge_short,short,5000.0,7.5,FTFT short surge_short did=42b64500418d
2025-03-05,entry,ARBB,surge_short,short,5003.35,7.505,ARBB short surge_short did=782320406e6c
2025-03-05,entry,CMRX,surge_short,short,5003.35,7.505,CMRX short surge_short did=66aee622e1cd
2025-03-06,exit,ACON,surge_short,short,1052.78,1.5792,ACON short close@43.2
2025-03-06,entry,GV,surge_short,short,5027.86,7.5418,GV short surge_short did=0839529c5174
2025-03-06,entry,PSTV,surge_short,short,5027.86,7.5418,PSTV short surge_short did=0ad5b42e745d
2025-03-07,entry,,fixed_income,,104535.42,156.8031,UST 1m face=104904.39 purchase_pv=104535.42141160251
2025-03-07,entry,,fixed_income,,103799.1,155.6987,UST 3m face=104904.39 purchase_pv=103799.10102558612
2025-03-07,entry,,fixed_income,,979.37,1.469,UST 6m face=1000.0 purchase_pv=979.3663749136084
2025-03-07,entry,,fixed_income,,201700.42,302.5506,UST 1y face=209808.78 purchase_pv=201700.42299557777
2025-03-07,entry,,fixed_income,,194129.31,291.194,UST 2y face=209808.78 purchase_pv=194129.31261779583
2025-03-07,entry,,fixed_income,,343901.87,515.8528,UST 5y face=419617.55 purchase_pv=343901.86889079097
2025-03-07,entry,SUNE,surge_short,short,5031.99,7.548,SUNE short surge_short did=1e7cbc170341
2025-03-10,entry,CKPT,surge_short,short,5566.36,8.3495,CKPT short surge_short did=ab8ddcae8a7f
2025-03-10,entry,RDFN,surge_short,short,5566.36,8.3495,RDFN short surge_short did=e552b7d98efc
2025-03-11,entry,TSVT,surge_short,short,5568.09,8.3521,TSVT short surge_short did=3efbe21b79e2
2025-03-13,exit,PSTV,surge_short,short,2618.97,3.9285,PSTV short close@18.7525
2025-03-13,entry,SPGC,surge_short,short,5596.94,8.3954,SPGC short surge_short did=4a304d84c50b
2025-03-14,entry,RDUS,surge_short,short,5625.81,8.4387,RDUS short surge_short did=986887c38ce4
2025-03-17,entry,NAOV,surge_short,short,5620.81,8.4312,NAOV short surge_short did=0f002694db53
2025-03-21,entry,ALUR,surge_short,short,5609.11,8.4137,ALUR short surge_short did=a06e7cda0b29
2025-03-25,entry,DM,surge_short,short,5620.5,8.4307,DM short surge_short did=3055e62b3ba2
2025-03-28,entry,PRTG,surge_short,short,5636.58,8.4549,PRTG short surge_short did=b8aeca091236
2025-03-31,exit,BTOG,surge_short,short,2975.29,4.4629,BTOG short close@11.4
2025-04-01,entry,WBA,surge_short,short,5656.46,8.4847,WBA short surge_short did=b22e8e2a3cbf
